date,trend::KE1 Comdty,trend::XM1 Comdty,trend::TU1 Comdty,trend::G 1 Comdty,trend::TY1 Comdty,trend::JB1 Comdty,trend::KAA1 Comdty,trend::YM1 Comdty,value::KE1 Comdty,value::XM1 Comdty,value::TU1 Comdty,value::G 1 Comdty,value::TY1 Comdty,value::JB1 Comdty,value::KAA1 Comdty,value::YM1 Comdty,carry::KE1 Comdty,carry::XM1 Comdty,carry::TU1 Comdty,carry::G 1 Comdty,carry::TY1 Comdty,carry::JB1 Comdty,carry::KAA1 Comdty,carry::YM1 Comdty,curve::KE1 Comdty,curve::XM1 Comdty,curve::TU1 Comdty,curve::G 1 Comdty,curve::TY1 Comdty,curve::JB1 Comdty,curve::KAA1 Comdty,curve::YM1 Comdty,policy::KE1 Comdty,policy::XM1 Comdty,policy::TU1 Comdty,policy::G 1 Comdty,policy::TY1 Comdty,policy::JB1 Comdty,policy::KAA1 Comdty,policy::YM1 Comdty
2016-04-27,,,,,,,,,,,,,,,,,0.045192426492944894,0.14370390618488246,0.045192426492944894,0.002997329323295147,-0.2340238414511901,0.011093974721510292,-0.0301574352893199,0.1344055167233461,,0.21840159264078116,,-0.03153246178477583,-0.4868164818598765,-0.063486711333923,-0.26551740177233896,,,,,,,,,
2016-04-28,,,,,,,,,,,,,,,,,-0.34389031488145827,-0.2965673880780045,-0.34389031488145827,-0.278414287775881,-0.41699526261780745,-0.5486533479162671,-0.4000372099201926,-0.222083727745491,,-0.1553313073818638,,-0.14430983541133408,-0.36491936272264125,-0.6006078628154473,-0.4414077287416748,,,,,,,,,
2016-04-29,,,,,,,,,,,,,,,,,-0.3416711348853552,-0.2264699554407095,-0.3416711348853552,-0.2999020862354015,-0.351266123362694,-0.5445284449763912,-0.4611847489902687,-0.22074000726050955,,-0.025232601350010778,,-0.17841411315899103,-0.24593176729832963,-0.5958838071026007,-0.6872827678392723,,,,,,,,,
2016-05-02,,,,,,,,,,,,,,,,,-0.25151404796777516,-0.21138260766825917,-0.25151404796777516,-0.25134076234699715,-0.07452941195914015,-0.8912163631345181,-0.3480119334994766,-0.1489005207380692,,-0.1030694923931252,,-0.17736494852519857,0.1600120131845855,-1.5683932195535994,-0.5389290999915897,,,,,,,,,
2016-05-03,,,,,,,,,,,,,,,,,-0.6428472206202623,0.06896077420545459,-0.6428472206202623,-0.593124749067025,-0.6113121790774614,-1.2078511797742226,-0.6456848901213215,-0.4981451783373318,,0.8870574201487323,,-0.37945331664308585,-0.3708810716828356,-1.5379657858065903,-0.4273494042299926,,,,,,,,,
2016-05-04,,,,,,,,,,,,,,,,,-0.8128744074289922,-0.16005715109204846,-0.8128744074289922,-0.5528591472912384,-0.755480815001986,-1.3351270679697365,-0.8599866071564152,-0.6354421273119218,,0.6579366823781577,,-0.18176735872876074,-0.4369353487089632,-1.5092483539491706,-0.7125024097938407,,,,,,,,,
2016-05-05,,,,,,,,,,,,,,,,,-1.0238470503972907,-0.33299920114102494,-1.0238470503972907,-0.7951369546347622,-0.9594405835037063,-1.492762909350432,-1.0336878066374404,-0.8320031336520227,,0.587489858341972,,-0.3770945027347177,-0.5660372388855157,-1.4820864598133143,-0.7065652084892371,,,,,,,,,
2016-05-06,,,,,,,,,,,,,,,,,-0.83903480748015,-0.16396757833568107,-0.83903480748015,-0.8889314892802452,-0.7125058404165825,-1.1559251897610447,-0.8775903408190627,-0.7351448302003869,,0.6879151163199373,,-0.6697453794216517,-0.3259155549935061,-1.0671568087679546,-0.700774469916646,,,,,,,,,
2016-05-09,,,,,,,,,,,,,,,,,-1.1384642488177548,-0.09244343631240856,-1.1384642488177548,-1.0266520770509844,-0.9062133799904059,-1.2845687243756772,-1.0065478348535397,-1.0127382693784373,,1.1774730220255096,,-0.6376609791392862,-0.32663987387700266,-0.806072722965204,-0.2222399030723773,,,,,,,,,
2016-05-10,,,,,,,,,,,,,,,,,-0.9495313357934957,-0.2126454545325257,-0.9495313357934957,-0.8748864064127436,-0.8224122915494557,-1.0069396549284755,-0.8031737090126561,-0.8601540494259209,,0.733635837543909,,-0.5609700280810144,-0.39712983166927907,-0.5269908973242476,-0.037507219287496424,,,,,,,,,
2016-05-11,,,,,,,,,,,,,,,,,-0.8751377835078957,-0.24785661671836776,-0.8751377835078957,-0.867298455962956,-0.9892224127605124,-1.1942873395863143,-0.8615474583918787,-0.7617402856702103,,0.5831865073968913,,-0.6112106279173589,-0.8040283111629658,-1.1091869103753358,-0.5164208588053512,,,,,,,,,
2016-05-12,,,,,,,,,,,,,,,,,-0.5784303628529058,0.019706337813899185,-0.5784303628529058,-0.6994885657469164,-0.8735645655894234,-0.9094696835157113,-0.6772836738503927,-0.4985580173788299,,0.7241160623164867,,-0.5977628083593297,-0.9467589286609,-1.0132267277459068,-0.7706772810314584,,,,,,,,,
2016-05-13,,,,,,,,,,,,,,,,,-0.6645410706554706,-0.19755368618497,-0.6645410706554706,-0.83079540980707,-1.228975510322181,-0.91977388796666,-0.9045426605423164,-0.5890067614643039,,0.42715846442959315,,-0.729654327572877,-1.5106729375153798,-0.8775970572931583,-1.383802012087719,,,,,,,,,
2016-05-16,,,,,,,,,,,,,,,,,-0.20753212065892623,-0.09934694310841076,-0.20753212065892623,-0.5182649470026601,-0.8384933726881788,-0.5451194358141196,-0.48371286552247633,-0.19779891650051393,,0.06405105021539041,,-0.6238819857643176,-1.3186447286830891,-0.8696272362268644,-1.219237406048876,,,,,,,,,
2016-05-17,,,,,,,,,,,,,,,,,0.2966390162329314,0.24813540581180424,0.2966390162329314,-0.379606316436041,-0.6961714531288177,-0.16086172159436388,0.013099830953185123,0.23707707135894635,,0.1040350760635432,,-0.8200080897643524,-1.6316456991943131,-0.9246293357835839,-0.9141551204006192,,,,,,,,,
2016-05-18,,,,,,,,,,,,,,,,,0.980724771075312,0.6841262136030491,0.980724771075312,0.11644051206117836,-0.10638134622041215,0.4836267836603982,0.4933099852752641,0.8501530331695875,,0.09000216416072732,,-0.6213452192618636,-1.3375555100901118,-0.7272137758011208,-1.267886123493195,,,,,,,,,
2016-05-19,,,,,,,,,,,,,,,,,0.8603255488573951,0.8618644404349777,0.8603255488573951,0.0012435306970493187,-0.14271539441991224,0.5092384012765959,0.5101022656965178,0.7191027965325176,,0.5638457957411962,,-0.6996214748569051,-1.2572133033294177,-0.44688718010020095,-0.8174586539013062,,,,,,,,,
2016-05-20,,,,,,,,,,,,,,,,,0.7900081327939498,0.6092886643707901,0.7900081327939498,0.00977135550936757,-0.21681416157401676,0.18530895766080713,0.3873369886110777,0.5924365810786305,,0.17954765168284717,,-0.6301040226129881,-1.3016891281466971,-1.0574813584963605,-1.0651712179640322,,,,,,,,,
2016-05-23,,,,,,,,,,,,,,,,,1.0152555295986385,0.5802511942952687,1.0152555295986385,0.09304251287400882,-0.24051772256619972,0.4509152700552738,0.5814491140741402,0.7939948318025433,,-0.14991756849689336,,-0.6903991650006386,-1.5900144617551495,-0.8783255995020595,-1.0540842830244688,,,,,,,,,
2016-05-24,,,,,,,,,,,,,,,,,1.1450474931182055,0.6685366972220753,1.1450474931182055,0.08951202240124137,-0.03465632653914335,0.48099268499401265,0.6492444219865647,0.9289858871602629,,-0.14917877241133762,,-0.8055274910548361,-1.3688274886838139,-1.060293194602404,-1.2238030755240217,,,,,,,,,
2016-05-25,,,,,,,,,,,,,,,,,1.2336284648102536,0.8634092576471369,1.2336284648102536,0.06495146822976348,-0.008683579476976984,0.6850304641103958,0.7508643404216944,1.0052805996159058,,0.10040479438791407,,-0.9191203978413901,-1.4206727924944562,-0.7755596443235786,-1.137277828177524,,,,,,,,,
2016-05-26,,,,,,,,,,,,,,,,,0.6442385650625648,0.3876661474449291,0.6442385650625648,-0.2983641692792396,-0.29158100518236785,-0.161457603975273,0.21307153600742113,0.45598652109308424,,-0.06679678336287893,,-0.9755844958997255,-1.2343581638529852,-1.5653270670086512,-1.2684745607203758,,,,,,,,,
2016-05-27,,,,,,,,,,,,,,,,,1.1061125383838675,0.5381503742065565,1.1061125383838675,-0.0002914706210175204,-0.12050535428937402,0.4123469426711801,0.48760983358479076,0.8809085666958332,,-0.3594548145626344,,-0.9113300883922232,-1.4542950127309096,-1.147369639085329,-1.7128687166181504,,,,,,,,,
2016-05-30,,,,,,,,,,,,,,,,,1.0946806436289538,0.5349232801181212,1.0946806436289538,-0.00029011832192451847,-0.11993804505758866,0.34363170193314246,0.504182731823986,0.8736292631482357,,-0.3575692170803284,,-0.9035687156305379,-1.4333178713771904,-1.280289541859703,-1.6122008998312876,,,,,,,,,
2016-05-31,,,,,,,,,,,,,,,,,0.7295561242432543,0.26476405963435656,0.7295561242432543,-0.07343784154202151,-0.15844020201011233,0.14518867297760943,0.222732497516178,0.5217576120537495,,-0.4119119555987842,,-0.7106477244187576,-1.0843697909763983,-1.0366987838822381,-1.481465029109009,,,,,,,,,
2016-06-01,,,,,,,,,,,,,,,,,0.9696441201218611,0.3599850484278651,0.9696441201218611,-0.12504853426035928,-0.23616320897866613,0.35360474230105476,0.4838838242071846,0.7079396421806694,,-0.5365244148818485,,-0.984188677369025,-1.4740661039742045,-1.026879367467407,-1.286107112519915,,,,,,,,,
2016-06-02,,,,,,,,,,,,,,,,,0.8273828848718021,0.2907724493469515,0.8273828848718021,-0.20019317600122213,-0.5112281792220993,0.295015371229428,0.3840466678921812,0.5550575305924375,,-0.491007614121206,,-0.9754212985428651,-1.7532820419723867,-0.8922467057091594,-1.2010006733339784,,,,,,,,,
2016-06-03,,,,,,,,,,,,,,,,,-0.48815719743140834,-0.7010038893624849,-0.48815719743140834,-1.1154876998798302,-1.249319408427333,-0.8103593633031316,-0.8034259825827375,-0.6743161994497101,,-0.7007105148659074,,-1.2343286357407506,-1.5185490565023183,-0.8641448524177145,-1.361533693254292,,,,,,,,,
2016-06-06,,,,,,,,,,,,,,,,,-0.21523912540463874,-0.6607125426957562,-0.21523912540463874,-0.9236479655592684,-0.9642161116529683,-0.6339843222842979,-0.5645872978336822,-0.4479086726146898,,-0.9645465262466636,,-1.1746386935908293,-1.3436836751061325,-0.9829280299112151,-1.3443168813290736,,,,,,,,,
2016-06-07,,,,,,,,,,,,,,,,,-0.35176246427674374,-1.0504138606734694,-0.35176246427674374,-1.2306442888746891,-1.098192117844395,-0.823126984355491,-0.7192010144527472,-0.5963614153089033,,-1.5151994634915429,,-1.5086797029270735,-1.4118118246997817,-1.1411606119005335,-1.465054022281268,,,,,,,,,
2016-06-08,,,,,,,,,,,,,,,,,-0.44313442016190896,-1.1694074430653068,-0.44313442016190896,-1.4604680526144977,-1.2031072015569086,-0.7214639302657575,-0.7252982729964571,-0.6909697646489195,,-1.617058706984588,,-1.7648921190630091,-1.4823344731037937,-0.7538563520488242,-1.2052870848435426,,,,,,,,,
2016-06-09,,,,,,,,,,,,,,,,,-0.5353267278703026,-1.6127305911468484,-0.5353267278703026,-1.565050333686368,-1.3052711598203217,-0.9892081445240448,-0.9003089385006302,-0.8827574014976614,,-2.300592582392097,,-1.8394564232553188,-1.5489309366605346,-1.167005625572213,-1.5338468169072996,,,,,,,,,
2016-06-10,,,,,,,,,,,,,,,,,-0.998281985036272,-1.9981694974873028,-0.998281985036272,-1.9323806040041185,-1.6296811870179813,-1.2734594925296217,-1.0951324678684617,-1.267099749958592,,-2.44496295901632,,-2.0131699095013635,-1.595025852782817,-0.9468554898345803,-0.8290384306978078,,,,,,,,,
2016-06-13,,,,,,,,,,,,,,,,,-1.1292048492162854,-2.0428285453419535,-1.1292048492162854,-2.0075721789737666,-1.8263544979289235,-1.5739209268859158,-1.4478417841394988,-1.382474027999771,,-2.3741721893645598,,-2.030063805280058,-1.7884329349356762,-1.375537998777846,-1.6755491211133677,,,,,,,,,
2016-06-14,,,,,,,,,,,,,,,,,-1.0293764226361897,-2.0840513618405603,-1.0293764226361897,-2.1698947765483587,-1.7691066562057447,-1.3836338788520095,-1.4405871395637007,-1.2937255327995218,,-2.553717278247933,,-2.3444996276026133,-1.8077369449774612,-1.1524185193269265,-1.9469029013137764,,,,,,,,,
2016-06-15,,,,,,,,,,,,,,,,,-1.6146887654201225,-2.3350515859267387,-1.6146887654201225,-2.43784078786818,-2.0262745666766904,-2.0388269428587393,-2.0156115592943387,-1.7550713451292095,,-2.3680559427398964,,-2.3145396913900735,-1.6441129272719244,-1.5521257472823968,-2.2311008790826374,,,,,,,,,
2016-06-16,,,,,,,,,,,,,,,,,-1.4141871402262232,-2.288521189020307,-1.4141871402262232,-2.3813855700577866,-1.9370745541767707,-2.024670404868308,-2.0865120819324607,-1.6040150222040674,,-2.5155655662843914,,-2.3975466316105183,-1.7215072004331544,-1.9126223753973062,-3.0,,,,,,,,,
2016-06-17,,,,,,,,,,,,,,,,,-1.3151374983819,-2.0044676650362336,-1.3151374983819,-2.3320626782742426,-1.700482623223136,-1.7380287733034059,-1.9106710557426385,-1.4848350794492746,,-2.129904919683481,,-2.410016848748725,-1.4475418983861976,-1.4776187980741389,-2.708764166523092,,,,,,,,,
2016-06-20,,,,,,,,,,,,,,,,,-0.7101942747672455,-1.3951432040359324,-0.7101942747672455,-1.9044174598222263,-1.1140057539821207,-1.2179293698724245,-1.2269356387509591,-0.9120934604657152,,-1.698922320614236,,-2.22236403607275,-1.1051258719801007,-1.4184264671115245,-2.0921201446593334,,,,,,,,,
2016-06-21,,,,,,,,,,,,,,,,,-0.5020674155016568,-1.3725075213638236,-0.5020674155016568,-1.6968987155401691,-0.9828392657393532,-1.0423299061163427,-1.140970152213272,-0.7073544632438873,,-1.8696431443204231,,-2.063677121875129,-1.1020719050644041,-1.4011889856854305,-2.3390849012352617,,,,,,,,,
2016-06-22,,,,,,,,,,,,,,,,,-0.7245143069282584,-1.3948101480834527,-0.7245143069282584,-1.5664962531850322,-1.119957340006773,-1.2951657272209112,-1.220629472704261,-0.8889305900920436,,-1.6753296092319827,,-1.7251223809147338,-1.103731980666296,-1.5632461935774185,-1.9921701484308711,,,,,,,,,
2016-06-23,,,,,,,,,,,,,,,,,-0.313410997371194,-1.1005478973076235,-0.313410997371194,-1.217579288991387,-0.6847153469867748,-1.02223206826415,-0.7842897507187876,-0.43493247000023505,,-1.5812246674680734,,-1.5077761338556936,-0.8055985106179194,-1.6793619589641755,-1.6646079265909859,,,,,,,,,
2016-06-24,,,,,,,,,,,,,,,,,-2.029110501394355,-2.4009322614310125,-2.029110501394355,-2.2120384220403024,-1.9707707160126804,-2.2358784334956168,-2.579264080987878,-2.1736932602936943,,-2.1020007592059686,,-1.7681980711785994,-1.1922709306767176,-1.3606299275226104,-2.9242377949258915,,,,,,,,,
2016-06-27,,,,,,,,,,,,,,,,,-2.3491332394367084,-2.503498815369723,-2.3491332394367084,-2.485225048257094,-2.735053935606381,-2.5532235380318165,-2.8127778737212363,-2.3862142727496227,,-1.9806328266609192,,-1.9626828263449392,-2.175444263106794,-1.540983794050942,-2.8970738336357895,,,,,,,,,
2016-06-28,,,,,,,,,,,,,,,,,-2.0829243163190916,-2.5695887486412334,-2.0829243163190916,-2.3842092110430815,-2.4665385219469815,-2.3920111089492657,-2.6304924319357554,-2.0766804718490217,,-2.3983489252835866,,-2.0210134042325247,-2.030017794657107,-1.6948170481091909,-3.0,,,,,,,,,
2016-06-29,,,,,,,,,,,,,,,,,-1.7914901360541278,-2.4271841473011517,-1.7914901360541278,-2.330831197899824,-2.091458590931742,-2.252725578162244,-2.5149993972142397,-1.8060261256227492,,-2.4631767070149126,,-2.1613648693000456,-1.7140029132469254,-1.9361430672707267,-3.0,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,,,-2.3356828664697553,-2.8046181080837895,-2.3356828664697553,-2.4287579604247216,-2.3345060247792673,-2.554487247093568,-2.8641151790974164,-2.293447384044419,,-2.6127904506433017,,-1.9520371068495266,-1.5873605011522292,-1.6941071024766434,-3.0,,,,,,,,,
2016-07-01,,,,,,,,,,,,,,,,,-2.2025724025028675,-2.692984132553643,-2.2025724025028675,-2.6346379837861282,-2.4338038604759893,-2.4473532805033433,-2.898817667765944,-2.2342990128984392,,-2.5769684785153437,,-2.370126011735969,-1.9230291897609688,-1.7256974254365767,-3.0,,,,,,,,,
2016-07-04,,,,,,,,,,,,,,,,,-2.1547395632353266,-2.6115247521477474,-2.1547395632353266,-2.6213898612837294,-2.371609453592714,-2.314921237502852,-2.784772356563179,-2.2029994994073063,,-2.5045628729532763,,-2.4069667728097275,-1.8893041250879297,-1.5316793261632016,-3.0,,,,,,,,,
2016-07-05,,,,,,,,,,,,,,,,,-2.4979071038080107,-2.9548138332960265,-2.4979071038080107,-2.8790488066705766,-2.7145275442060055,-2.604532594472105,-2.8800029579822857,-2.5463497469102605,,-2.808914503040976,,-2.584913524562018,-2.1643804383670693,-1.624411181667623,-2.9351231213675764,,,,,,,,,
2016-07-06,,,,,,,,,,,,,,,,,-2.167098186882841,-2.930403797293779,-2.167098186882841,-2.7590674277103866,-2.6706563594570194,-2.4237593316143804,-2.79358865709496,-2.252669381331594,,-3.0,,-2.6542185767954205,-2.46742062925754,-1.8419831279827985,-3.0,,,,,,,,,
2016-07-07,,,,,,,,,,,,,,,,,-2.0081342572318746,-2.7709082176478774,-2.0081342572318746,-2.590489540315884,-2.5000414605913868,-2.262291218816288,-2.692630264713732,-2.1078242071048874,,-2.992072763417375,,-2.527260676202632,-2.35591208663549,-1.7759955471888353,-3.0,,,,,,,,,
2016-07-08,,,,,,,,,,,,,,,,,-1.8205863941102605,-2.632399554038044,-1.8205863941102605,-2.565416030301435,-2.582056921840052,-2.08365074893304,-2.5003208161164303,-1.9290851355883898,,-2.929582115007052,,-2.62689732693648,-2.7140147728737456,-1.7129805318648401,-3.0,,,,,,,,,
